"subject" "activity" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.mean.." "tBodyAccMag.std.." "tGravityAccMag.mean.." "tGravityAccMag.std.." "tBodyAccJerkMag.mean.." "tBodyAccJerkMag.std.." "tBodyGyroMag.mean.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.mean.." "tBodyGyroJerkMag.std.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAcc.meanFreq...X" "fBodyAcc.meanFreq...Y" "fBodyAcc.meanFreq...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyAccJerk.meanFreq...X" "fBodyAccJerk.meanFreq...Y" "fBodyAccJerk.meanFreq...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyGyro.meanFreq...X" "fBodyGyro.meanFreq...Y" "fBodyGyro.meanFreq...Z" "fBodyAccMag.mean.." "fBodyAccMag.std.." "fBodyAccMag.meanFreq.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyAccJerkMag.std.." "fBodyBodyAccJerkMag.meanFreq.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroMag.meanFreq.." "fBodyBodyGyroJerkMag.mean.." "fBodyBodyGyroJerkMag.std.." "fBodyBodyGyroJerkMag.meanFreq.." "angle.tBodyAccMean.gravity." "angle.tBodyAccJerkMean..gravityMean." "angle.tBodyGyroMean.gravityMean." "angle.tBodyGyroJerkMean.gravityMean." "angle.X.gravityMean." "angle.Y.gravityMean." "angle.Z.gravityMean."
1 "MOVING" 0.25427141408 -0.0196165297773333 -0.1095710039 -0.9673857442 -0.911890129606667 -0.915944981609333 0.510755553173333 0.202777936126667 0.257412939220667 -0.9535228332 -0.942401851586667 -0.926456091606667 0.07793978548 0.0039035073916 0.00125404901062667 -0.980002598466667 -0.963808859133333 -0.978425838333333 -0.0282030486619333 -0.071285294656 0.0957112435466667 -0.94618197914 -0.968858136066667 -0.944236464266667 -0.100305110917333 -0.0420076485433333 -0.0566127233173333 -0.967786010266667 -0.984300140133333 -0.9793615976 -0.925629543766667 -0.902486027353333 -0.925629543766667 -0.902486027353333 -0.978142822133333 -0.968666811 -0.928293969666667 -0.91162717672 -0.983527862933333 -0.973089473533333 -0.971642248466667 -0.930066593726667 -0.942905198866667 -0.9660183516 -0.908831583433333 -0.909302146413333 -0.0378763895268667 0.0978172798226667 0.191162611366667 -0.979594576733333 -0.963230378533333 -0.975049369 -0.982394102733333 -0.9673400886 -0.980505542733333 0.235555727704 0.0369054617006667 0.0860442652713333 -0.937803647995333 -0.972601096066667 -0.947719614333333 -0.9494244602 -0.9673901936 -0.9483837762 0.0155821474297333 -0.0265306792026667 0.0297017778026667 -0.9323871127 -0.904097229 0.20349762738 -0.970513928733333 -0.965533982 0.3482285108 -0.9356047734 -0.912586649493333 -0.0567811956996 -0.975760313533333 -0.971612899466667 0.234914645946667 0.0156417798054 0.0180897391873333 0.008715930882 -0.00204995513 -0.305692922066667 -0.0969321156793333 -0.18145375972
2 "MOVING" 0.278778115337838 -0.0174864316135135 -0.107370883648649 -0.982847035067568 -0.962703996756757 -0.964063203513513 0.45424252527027 0.0762121076557838 0.318890893844595 -0.9756298 -0.973318789121622 -0.960988192432432 0.0765232612432432 0.0113783525788514 -0.0012752793202027 -0.984804473175676 -0.9771402275 -0.986111436081081 -0.0288317331543919 -0.0848195970635135 0.0918510276662162 -0.981913989662162 -0.977284887027027 -0.961810455405405 -0.100690713966216 -0.0399599166905405 -0.0562485549648649 -0.987063728783784 -0.987745378783784 -0.981997383716216 -0.970251822837838 -0.961249610540541 -0.970251822837838 -0.961249610540541 -0.984794921554054 -0.981967721081081 -0.953684809527027 -0.958575971891892 -0.9887025075 -0.985114013310811 -0.982181780337838 -0.965549423851351 -0.971967511081081 -0.983402274662162 -0.962970778648649 -0.962115744189189 0.0185657539605405 0.152872012753986 0.198523734024324 -0.984680093513513 -0.976670774324324 -0.983522006621622 -0.986388912837838 -0.979503259391892 -0.987373172702703 0.26773117974977 0.0266931307677027 0.105144767306757 -0.978170829797297 -0.979021576013513 -0.961038027162162 -0.983161234594595 -0.976527303986486 -0.965683358040541 0.0346550030898649 -0.108457796258784 0.0307442791350676 -0.966774992162162 -0.963718587297297 0.170718821500676 -0.981876483918919 -0.980997735608108 0.309124079728378 -0.96825668222973 -0.959615254391892 -0.0511638635283784 -0.985604581959459 -0.985253335202703 0.205023537964865 0.00917223828689865 0.0119101390068919 0.0221817867885135 0.00777249719013513 -0.269293652094595 0.00318188893243243 -0.216846354852027
3 "MOVING" 0.271652327628571 -0.0127543141194286 -0.100538094531554 -0.973691274514286 -0.906812009885714 -0.919149332571429 0.508028566 0.2291995597188 0.223081241599429 -0.974856422228571 -0.949951494514286 -0.932104071371429 0.0750230545879429 0.00839019567485714 -0.00561490134948857 -0.970680558114286 -0.954810235371429 -0.9767360872 -0.0274227168385714 -0.0682079899022857 0.100015222810057 -0.9460150884 -0.950391131142857 -0.934657540971429 -0.100899092257143 -0.0410003018651429 -0.0564148109861143 -0.9642857788 -0.977958947828571 -0.9717596224 -0.933281586457143 -0.919205467771429 -0.933281586457143 -0.919205467771429 -0.969358732571429 -0.963743414228571 -0.921262241485714 -0.920580781645714 -0.975627675314286 -0.9723730216 -0.970381866685714 -0.9220819348 -0.943325352857143 -0.975303795485714 -0.905111170914286 -0.913491129314286 -0.0472344798468571 0.0378408614634286 0.0937824182725714 -0.970896661142857 -0.955616316057143 -0.973195595828571 -0.9732295556 -0.9572662944 -0.978935935885714 0.152577534433943 -0.123157894737714 -0.0362883839373143 -0.9424069816 -0.9575062028 -0.938114629885714 -0.947822652457143 -0.947122380171429 -0.9398127052 -0.117214826313143 -0.168943804446857 -0.0390548336893714 -0.933858672342857 -0.924287411085714 0.0922137944628 -0.963436416971429 -0.963263596914286 0.215006082824571 -0.941517589314286 -0.921431991817143 -0.150446443142286 -0.9740353592 -0.971951472457143 0.057935269328 0.0187556403718571 0.0157038318577143 0.0386939646097143 -0.013876653516 -0.323879940285714 -0.124077225845714 -0.14436972494
4 "MOVING" 0.27198185859375 -0.0106232213424375 -0.1040981836375 -0.9703094433125 -0.8975825659625 -0.93012184675 0.4643520929375 0.348434949280279 0.20809230673125 -0.9581120676875 -0.93995504720625 -0.94142291890625 0.08130130561375 -0.00333881567775 -0.01337657801675 -0.975814414625 -0.9416061225625 -0.976766379375 -0.029292477016875 -0.080977417906875 0.11533739108125 -0.9499790430625 -0.9561251750625 -0.9331894775 -0.10181118549375 -0.04208815100875 -0.056523033146375 -0.9645628549375 -0.9823245105625 -0.970133525625 -0.9318351404375 -0.91190541379375 -0.9318351404375 -0.91190541379375 -0.96775342 -0.960417836125 -0.918693326875 -0.9197044540625 -0.977528814625 -0.9740992123125 -0.9697768743125 -0.9112725268125 -0.9500403113125 -0.9708613798125 -0.89744522306875 -0.925058426 -0.059123884917375 0.124778115251875 0.058504398386 -0.9758311775625 -0.9418516025625 -0.97295472575 -0.9781418995625 -0.9458042925625 -0.97929957175 0.223415931210688 -0.03446011277625 0.05470835177625 -0.9435279789375 -0.9650808164375 -0.9366528643125 -0.952623748375 -0.9519132688125 -0.9383094516875 -0.0843980301430625 -0.42871368573625 -0.0720284596125 -0.9285220840625 -0.9171123658875 0.05431171055375 -0.960202133375 -0.959844064625 0.233925382624375 -0.9409891284375 -0.9204301995 -0.250371435799375 -0.974704137125 -0.974940849875 0.11669460555 0.000999730379687502 -0.006006705261 0.027660236225 0.002756281545625 -0.32602407325 -0.2322503681125 -0.128454525026125
5 "MOVING" 0.278542190526316 -0.0117084880488816 -0.1059875655375 -0.971258665460526 -0.91370231819079 -0.919708877894737 0.443304471052632 0.361171933971053 0.182668277400658 -0.966994400328947 -0.952751070664474 -0.944779324210526 0.0774319796381579 0.000932268677631579 -0.00458470484530263 -0.973350386381579 -0.948867748552632 -0.973997454736842 -0.0316053397913158 -0.0702942113815789 0.104007335171711 -0.950197279802632 -0.953410369078947 -0.935242320723684 -0.0946672596184211 -0.0417027828381579 -0.0539052283934211 -0.963103081578947 -0.973029858881579 -0.965949293223684 -0.936087890526316 -0.918661282763158 -0.936087890526316 -0.918661282763158 -0.968432840460526 -0.961368594868421 -0.926234706578947 -0.916891838552632 -0.972459638486842 -0.966708862763158 -0.969700357763158 -0.925194339802632 -0.945236315592105 -0.972164673881579 -0.913791861864474 -0.913473329605263 -0.0585047088006579 0.176123636923026 0.0465129996651316 -0.973528139407895 -0.949607017631579 -0.970129232434211 -0.975680774342105 -0.951765758223684 -0.976553174605263 0.159433471833553 -0.0241636575721711 0.000407152380263159 -0.946024273552632 -0.957329965526316 -0.935272308618421 -0.952405312894737 -0.951938077894737 -0.9415483375 -0.0371310374625 -0.0910625186427632 0.00191243609835526 -0.933506077302632 -0.923937484078947 0.110629175360724 -0.960527339605263 -0.961457661907895 0.190525561083553 -0.937982114210526 -0.91887976993421 -0.0247536776256579 -0.968937540526316 -0.966021798092105 0.0175099564385526 0.0123931486164474 0.0107669774894737 0.0247787280708553 -0.0679625978026316 -0.324377252960526 -0.252778718993421 -0.108678020657895
6 "MOVING" 0.268496891289941 -0.0143193918414201 -0.118572142076923 -0.965148541461539 -0.923268545822485 -0.925565818106509 0.46185545295858 0.267195242594675 0.0866365108172781 -0.953655353905325 -0.962852130177515 -0.941975984733728 0.0817029815664497 0.00255522376745562 0.00151420209733728 -0.969799535857988 -0.942698217218935 -0.961961717869822 -0.024334557694497 -0.0853159577924852 0.114093907727811 -0.953389203254438 -0.94340875739645 -0.942231622899408 -0.102850438213018 -0.0396369386988166 -0.0564393682259172 -0.943244501420118 -0.960934 -0.960393757988166 -0.937676288029586 -0.922631812485207 -0.937676288029586 -0.922631812485207 -0.961514557692308 -0.951580722544379 -0.926962426390533 -0.919332644911243 -0.960633546272189 -0.951969206331361 -0.963719283313609 -0.927426071597633 -0.938939084674556 -0.966136382504734 -0.925611665360947 -0.923925257988166 -0.0507056192964497 0.128448788723669 0.0881352187664497 -0.970524147928994 -0.944813500710059 -0.957494922426036 -0.971784662307692 -0.944397276863905 -0.965073512248521 0.0993168706019527 -0.141270746780473 -0.0273899648798817 -0.935526034378698 -0.942956828284024 -0.936905405325444 -0.959416466686391 -0.944261091005917 -0.949667130532544 0.0412662647099408 -0.100180431517751 0.00300885538165681 -0.931298547497041 -0.929713415029586 0.103321260291716 -0.951003763964497 -0.951461599763314 0.181888567548521 -0.928837483668639 -0.927088822130178 0.0316202578236686 -0.953738482721894 -0.952950461065089 0.104206040895266 0.00660553989816568 0.000626799013609467 0.0672714565908876 -0.00346627770177515 -0.311423173313609 -0.202004893301183 -0.0409265475491124
7 "MOVING" 0.272273975620915 -0.0165796766920261 -0.107433330686275 -0.962680332875817 -0.919998255947712 -0.910280112084967 0.465263888888889 0.0948900343601307 0.310930588880392 -0.953196670294118 -0.956051269215686 -0.924756357320261 0.0799499738496732 0.0145907278120915 -0.00314776504333333 -0.97976352875817 -0.969430216405229 -0.972435378104575 -0.0266338704308497 -0.0827768208921569 0.0906135163117647 -0.949245280784314 -0.946359457320261 -0.948292702745098 -0.0966693324908497 -0.0389348327143791 -0.0559893758562092 -0.971283466339869 -0.978030977973856 -0.982679748562092 -0.932951198169935 -0.908367965640523 -0.932951198169935 -0.908367965640523 -0.97667117751634 -0.968665768039216 -0.919742546470588 -0.912122560653595 -0.980636407712418 -0.97308941248366 -0.967527190065359 -0.93872860496732 -0.934741171830065 -0.961341172352941 -0.91586422372549 -0.904881027973856 -0.254225671207843 -0.0656105540745098 0.0490030402320261 -0.979499017777778 -0.969697575751634 -0.968755804901961 -0.98203290875817 -0.971478849477124 -0.974768913398693 0.0977690131589346 -0.106199411345752 -0.0256501496013725 -0.945139657777778 -0.957282859477124 -0.954019483071895 -0.95118465869281 -0.941372276797386 -0.951328175555556 -0.135111476366797 -0.354458211305294 -0.0661371266131373 -0.928118496228758 -0.91239490756732 -0.0573902761062353 -0.968747675816994 -0.967636065882353 0.219756549236601 -0.937765329738562 -0.911980400588235 -0.199982384537909 -0.975380280784314 -0.97201302006536 0.0859307816013072 0.0202151827499346 -0.0136422557627451 -0.0106332474052288 0.00361417603087582 -0.367552807647059 0.0112990083267974 -0.262184140156209
8 "MOVING" 0.269557612220779 -0.0146461377361039 -0.104264076832468 -0.969840657272727 -0.933891452422078 -0.932347413688312 0.442122286883117 0.246852779406753 0.296891978701299 -0.957307081857143 -0.952178896058442 -0.931681135142857 0.0807275286948052 0.00907423305897403 -0.00799441390292208 -0.982409652337662 -0.977766875909091 -0.977616004675325 -0.0221763621532468 -0.069606922461039 0.0921765850714286 -0.973705220064935 -0.963947372337662 -0.967499476558442 -0.099178121461039 -0.0427071370980519 -0.0544314463545455 -0.980980653181818 -0.982544483441558 -0.987481807077922 -0.946807067337662 -0.926630078837662 -0.946807067337662 -0.926630078837662 -0.981133227792208 -0.974198598701299 -0.936797940519481 -0.945880746753247 -0.985637375064935 -0.97903400538961 -0.973944992597403 -0.948927651168831 -0.950936499805195 -0.968717520779221 -0.930775821402597 -0.927967999064935 -0.148673966096753 0.0610014392603896 0.127906241225584 -0.982237048831169 -0.977280174545455 -0.974438663181818 -0.984300142857143 -0.980119643311688 -0.979450872142857 0.219631590846104 -0.0028896055038961 0.0690990517987013 -0.969289647012987 -0.968464246038961 -0.968592915519481 -0.975299774155844 -0.962094871038961 -0.97013050974026 -0.0562398006571429 -0.217306113530714 0.0698229890470779 -0.944497082584416 -0.929071623314286 0.0921093858093506 -0.973805042662338 -0.973810147012987 0.322674821453247 -0.957910024285714 -0.947782598701299 -0.10205835476246 -0.979543632922078 -0.979601021753247 0.189524733426623 0.00407379472980519 -0.0158201657032468 0.0126963509818182 -0.0177565524837662 -0.288602460649351 -0.115352076933766 -0.229942072811688
9 "MOVING" 0.262621148944828 -0.0226153601737931 -0.0926467115931034 -0.957837244344828 -0.909036677517241 -0.896577718372414 0.414228561310345 -0.0585949841104828 0.362541056504828 -0.954239418344828 -0.962676875517241 -0.929682609731034 0.0805108064944828 0.0114283143537931 -0.00688243360731035 -0.966293926068965 -0.961461594551724 -0.963440596827586 -0.028353701943931 -0.0879514415228966 0.0935806135078621 -0.941744175793103 -0.930085770413793 -0.944025161310345 -0.0976639393172414 -0.0386012621068966 -0.05572669632 -0.953122931931034 -0.969527781655172 -0.971920305793103 -0.922372720482759 -0.903923359917241 -0.922372720482759 -0.903923359917241 -0.965631181793103 -0.956618899448276 -0.910099254275862 -0.904353950758621 -0.969217446689655 -0.961352061724138 -0.958888107172414 -0.929798036551724 -0.926082252137931 -0.957829589586207 -0.905297025331035 -0.890510395663448 -0.224305907423724 -0.116840912176552 0.0160369962756552 -0.966925067724138 -0.961535195103448 -0.959949127793103 -0.968762982344828 -0.964333877310345 -0.965512390758621 -0.0295816154896552 -0.202539649244138 -0.164586640468276 -0.933065569586207 -0.942529496068966 -0.947409180896552 -0.944996512206897 -0.924645109241379 -0.948387007241379 -0.192901839610041 -0.3431070735 -0.130190587497931 -0.922765395517241 -0.909428014342759 -0.0500020733503448 -0.956651593793103 -0.955766736965517 0.153433421500207 -0.927529391172414 -0.906789829034483 -0.193024769658621 -0.963746312965517 -0.960890070413793 0.0128489875758621 0.0112896749144828 -0.01702366892 0.0389774476075862 -0.01610358478 -0.314202283862069 0.126151932917241 -0.310922682148966
10 "MOVING" 0.275891266538462 -0.0186232484295513 -0.110101768237179 -0.976198112371795 -0.92901259774359 -0.957230426923077 0.374745195384615 -0.0782460115641026 0.0683238824416667 -0.971328212115385 -0.958423072179487 -0.963401745583333 0.0771239524698718 0.0123014625247436 -0.00043497413301282 -0.97793105775641 -0.964495601666667 -0.980459270705128 -0.030189340660641 -0.076909387090641 0.0938784250576923 -0.962140355064103 -0.965758600769231 -0.962811570384615 -0.0990861830705128 -0.0391705542474359 -0.0553811541164103 -0.970666956089744 -0.978379255064103 -0.981931633461538 -0.956806065833333 -0.939226240833333 -0.956806065833333 -0.939226240833333 -0.977203423589744 -0.969296144615385 -0.937678382820513 -0.937822015641026 -0.978977247948718 -0.972078966025641 -0.974897472564103 -0.940800018205128 -0.965334905512821 -0.977134642115385 -0.927797480589744 -0.955872250596154 -0.0359608558798077 0.0806732882698718 0.22074798154976 -0.978239928525641 -0.965221331858974 -0.977154104807692 -0.979686773333333 -0.966376585833333 -0.9824655525 0.156460493609295 -0.045998496153782 0.096595270124359 -0.956705671089744 -0.967171710769231 -0.962932580769231 -0.964154524423077 -0.965276906858974 -0.966215306282051 0.0209421325262821 0.0036773906448718 0.00148068938461538 -0.949353924871795 -0.943547799166667 0.198961075884615 -0.969788914679487 -0.967826696025641 0.247199557660897 -0.950446253461538 -0.940627065 0.0186365586564103 -0.97308985775641 -0.972585731474359 0.198191286632692 -0.0130264298652628 0.0183125501764744 0.0181227097153397 0.0352093100980769 -0.203805326410256 0.148922134242308 -0.00355051431858974
